Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years (Individuals Vaccinated),45-60 Years (Individuals Vaccinated),60+ Years (Individuals Vaccinated),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
01/02/2021,Haryana,96304,3067,1125,96304,0,0,0,0,3567,92737,0,0,0,0,0,0,0,0,41457,54844,3
01/02/2021,Manipur,3321,124,27,3321,0,0,0,0,0,3321,0,0,0,0,0,0,0,0,1581,1740,0
01/02/2021,Jammu and Kashmir,21322,1081,250,21322,0,0,0,0,0,21322,0,0,0,0,0,0,0,0,9440,11878,4
01/02/2021,Rajasthan,313321,6924,2622,313321,0,0,0,0,7775,305546,0,0,0,0,0,0,0,0,129104,184170,47
01/02/2021,Bihar,144845,4647,948,144845,0,0,0,0,3467,141378,0,0,0,0,0,0,0,0,39417,105337,91
01/02/2021,Sikkim,1855,74,16,1855,0,0,0,0,0,1855,0,0,0,0,0,0,0,0,633,1222,0
01/02/2021,Andhra Pradesh,133642,10327,1843,133642,0,0,0,0,7925,125717,0,0,0,0,0,0,0,0,40763,92862,17
01/02/2021,Ladakh,1065,25,16,1065,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,379,686,0
01/02/2021,Assam,32329,1240,417,32329,0,0,0,0,2392,29937,0,0,0,0,0,0,0,0,10004,22324,1
01/02/2021,Odisha,159914,2606,718,159914,0,0,0,0,10316,149598,0,0,0,0,0,0,0,0,40804,119102,8
01/02/2021,Delhi,52760,1323,183,52760,0,0,0,0,2640,50120,0,0,0,0,0,0,0,0,28237,24523,0
